episode,avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,lower_reward,qos_rate,qos_success_rate,total_energy,total_reward,total_success_qos,total_violate_qos,total_violations,upper_q_max,upper_q_mean,upper_q_min,upper_reward,zeta_lower,zeta_upper
1,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
2,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
3,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
4,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
5,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
6,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
7,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
8,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
9,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
10,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
11,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
12,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
13,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
14,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
15,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
16,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
17,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
18,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
19,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
